SKU,Name,SAM,TCC,RM9,ESV,MGB,EMB,EMQ,On Time,HQ,Saimai,TOPS,Total
P_EW-INT,edel+white Intensive Flosserbrush,49,18,66,39,35,98,72,92,-14,42,0,511
EW-BPM50,edel+white Pick Stick M (50 pcs),12,0,0,11,9,21,12,0,165,0,0,230
EW-BPS50,edel+white Pick Stick S (50 pcs),11,0,0,12,2,22,12,0,141,0,0,200
EW-CC,edel+white CleanCurl 3D,19,13,24,16,19,47,39,50,102,17,0,346
EW-PL5,edel+white Easy Tape (Mint) 5 m.,12,11,12,11,30,28,16,-9,0,0,0,120
EW-USF,[Redeem] edel+white UltraSoft Flosserbrush (Foil),16,23,21,23,22,18,20,92,-61,18,0,253
EW-WF40,edel+white Woven Floss | Cinnamon Mint,19,13,21,11,16,22,8,43,17,17,0,187
P_EW-FT70,edel+white Easy Tape (Mint),16,13,15,14,13,34,16,27,10,6,0,164
P_EW-FTGR,edel+white Easy Tape (Caipirinha),16,17,14,16,16,38,20,21,55,28,0,241
P_EW-GUM75,edel+white Care Forte 75 ml.,12,-13,16,2,-16,9,4,13,-16,34,0,90
P_EW-OT75,edel+white Osmotonic 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-PO,edel+white Pro-Ortho,24,27,17,15,20,22,27,41,150,14,0,357
P_EW-Refill-DC,edel+white Dual Clean Refill (2 pcs),8,2,3,3,3,3,-16,5,23,23,0,73
P_EW-Refill-TF,edel+white Target & Focus Refill (2 pcs),2,2,3,2,3,4,2,2,5,10,0,35
P_EW-Refill-WH,edel+white Whitening Refill (2 pcs),3,2,3,2,4,3,3,4,-14,2,0,26
P_EW-SE,edel+white Stain Eraser,33,29,37,29,40,60,38,57,475,6,0,804
P_EW-SF,edel+white SuperSoft Floss 50 strands,8,7,6,5,4,4,5,19,72,7,0,137
P_EW-SG8,edel+white Sonic Generation 8,-84,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0
EW-SG8PLUS,edel+white Sonic Generation 8+,4,3,5,4,1,4,4,1,3,3,0,32
P_EW-SR75,edel+white Stop Sensitive 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-TW75,edel+white Anti-Plaque + Whitening 75 ml.,21,-16,18,7,1,-14,14,8,-14,21,0,90
P_EW-US,edel+white UltraSoft Flosserbrush,-16,1,54,6,-16,-16,-16,11,-35,1,0,73
P_EW-US-P3,edel+white UltraSoft Flosserbrush (Pack 3),-29,-16,7,4,-39,-16,-80,-18,-84,0,0,11
EW-WJR2,edel+white FlosserPik Replacement,2,3,4,3,3,5,3,11,26,6,0,66
P_F_EW_CRF12,edel+white Care Forte 12 ml.,-84,-84,-84,-84,-84,-84,-84,-16,-84,6,0,6
P_F_EW_OSM12,edel+white Osmotonic 12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_STS12,edel+white Stop Sensitive12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_WHT12,edel+white Anti-Plaque + Whitening 12 ml.,-84,-81,6,-84,-84,-84,-84,-55,-84,-52,0,6
PEW-WJ180,edel+white FlosserPik,6,4,2,2,4,9,5,8,95,6,0,141
PEW-US-Duo,edel+white UltraSoft Flosserbrush Duo,0,0,0,0,0,0,0,9,-84,-84,0,9
TOPS_7640131978309,edel+white Easy Tape 70 m.,0,0,0,0,0,0,0,0,0,0,-58,0
