SKU,Name,SAM,TCC,RM9,ESV,MGB,EMB,EMQ,On Time,HQ,Saimai,TOPS,Total
P_EW-INT,edel+white Intensive Flosserbrush,0,22,22,11,14,41,40,0,-14,-6,0,150
EW-CC,edel+white CleanCurl 3D,31,18,25,20,28,26,32,53,0,18,0,251
EW-PL5,edel+white Easy Tape (Mint) 5 m.,7,9,17,14,6,24,25,-9,0,0,0,102
EW-USF,[Redeem] edel+white UltraSoft Flosserbrush (Foil),18,24,24,23,24,18,20,102,-61,20,0,273
EW-WF40,edel+white Woven Floss | Cinnamon Mint,14,12,18,25,25,29,10,21,356,19,0,529
P_EW-FT70,edel+white Easy Tape (Mint),4,1,0,0,0,0,0,32,8,8,0,53
P_EW-FTGR,edel+white Easy Tape (Caipirinha),11,16,10,8,7,7,12,35,214,42,0,362
P_EW-GUM75,edel+white Care Forte 75 ml.,13,3,8,11,6,18,12,53,-16,46,0,170
P_EW-OT75,edel+white Osmotonic 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-PO,edel+white Pro-Ortho,11,10,17,21,11,35,18,49,0,23,0,195
P_EW-Refill-DC,edel+white Dual Clean Refill (2 pcs),4,2,2,2,5,4,4,8,44,28,0,103
P_EW-Refill-TF,edel+white Target & Focus Refill (2 pcs),2,1,3,1,3,6,0,4,9,10,0,39
P_EW-Refill-WH,edel+white Whitening Refill (2 pcs),2,2,3,2,4,4,1,4,6,4,0,32
P_EW-SE,edel+white Stain Eraser,34,35,32,32,9,44,21,91,328,19,0,645
P_EW-SF,edel+white SuperSoft Floss 50 strands,2,5,2,3,4,7,2,20,115,11,0,171
P_EW-SG8,edel+white Sonic Generation 8,-84,-84,-84,-84,-84,-84,-84,-84,16,-84,0,16
EW-SG8PLUS,edel+white Sonic Generation 8+,5,3,2,4,4,5,1,23,0,4,0,51
P_EW-SR75,edel+white Stop Sensitive 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-TW75,edel+white Anti-Plaque + Whitening 75 ml.,12,-1,12,12,4,3,10,26,-14,21,0,99
P_EW-US,edel+white UltraSoft Flosserbrush,54,74,121,140,116,131,109,54,629,47,0,1475
P_EW-US-P3,edel+white UltraSoft Flosserbrush (Pack 3),2,3,2,2,-39,4,-80,10,-84,0,0,23
EW-WJR2,edel+white FlosserPik Replacement,2,3,3,3,3,6,2,11,29,6,0,68
P_F_EW_CRF12,edel+white Care Forte 12 ml.,-84,-84,-84,-84,-84,-84,-84,34,-84,12,0,46
P_F_EW_OSM12,edel+white Osmotonic 12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_STS12,edel+white Stop Sensitive12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_WHT12,edel+white Anti-Plaque + Whitening 12 ml.,-84,-81,6,-84,-84,-84,-84,37,-84,3,0,46
PEW-WJ180,edel+white FlosserPik,4,4,6,3,5,5,3,13,169,4,0,216
PEW-US-Duo,edel+white UltraSoft Flosserbrush Duo,0,0,0,0,0,0,0,15,-84,-84,0,15
