SKU,Name,SAM,TCC,RM9,ESV,MGB,EMB,EMQ,On Time,HQ,Saimai,TOPS,Total
P_EW-INT,edel+white Intensive Flosserbrush,99,95,108,100,27,121,90,62,7,29,0,738
EW-CC,edel+white CleanCurl 3D,0,0,0,0,0,0,0,0,0,0,0,0
EW-PL5,edel+white Easy Tape (Mint) 5 m.,12,7,10,12,9,8,12,-9,1398,0,0,1468
EW-USF,[Redeem] edel+white UltraSoft Flosserbrush (Foil),10,9,13,6,10,14,16,35,239,20,0,372
P_EW-FT70,edel+white Easy Tape (Mint),14,11,7,5,7,14,2,44,0,30,0,134
P_EW-FTGR,edel+white Easy Tape (Caipirinha),14,5,6,5,5,11,4,45,335,47,0,477
P_EW-GUM75,edel+white Care Forte 75 ml.,24,15,30,14,17,22,10,39,190,47,0,408
P_EW-OT75,edel+white Osmotonic 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-PO,edel+white Pro-Ortho,0,0,0,0,0,0,0,0,0,5,0,5
P_EW-Refill-DC,edel+white Dual Clean Refill (2 pcs),4,2,3,1,5,4,1,7,68,33,0,128
P_EW-Refill-TF,edel+white Target & Focus Refill (2 pcs),3,1,3,2,3,6,2,6,9,10,0,45
P_EW-Refill-WH,edel+white Whitening Refill (2 pcs),2,2,3,0,4,3,3,5,17,5,0,44
P_EW-SE,edel+white Stain Eraser,45,16,55,20,19,44,25,123,263,32,0,642
P_EW-SF,edel+white SuperSoft Floss 50 strands,4,3,2,3,3,4,2,25,160,17,0,223
P_EW-SG8,edel+white Sonic Generation 8,-84,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0
EW-SG8PLUS,edel+white Sonic Generation 8+,2,1,4,1,3,6,1,24,59,5,0,106
P_EW-SR75,edel+white Stop Sensitive 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-TW75,edel+white Anti-Plaque + Whitening 75 ml.,26,25,31,26,13,25,27,45,83,42,0,343
P_EW-US,edel+white UltraSoft Flosserbrush,139,111,170,148,102,88,131,175,1286,29,0,2379
P_EW-US-P3,edel+white UltraSoft Flosserbrush (Pack 3),1,1,5,2,-39,3,1,11,-84,0,0,24
EW-WJR2,edel+white FlosserPik Replacement,2,3,3,3,3,6,3,11,29,6,0,69
P_F_EW_CRF12,edel+white Care Forte 12 ml.,11,17,30,14,-84,27,8,36,20,16,0,179
P_F_EW_OSM12,edel+white Osmotonic 12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_STS12,edel+white Stop Sensitive12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_WHT12,edel+white Anti-Plaque + Whitening 12 ml.,11,17,29,13,-84,25,7,39,125,17,0,283
PEW-WJ180,edel+white FlosserPik,3,1,5,3,4,6,4,19,226,7,0,278
PEW-US-Duo,edel+white UltraSoft Flosserbrush Duo,0,0,0,0,0,0,0,15,-84,-84,0,15
24071142828,No.24 edel+white UltraSoft Flosserbrush,0,0,0,0,0,0,0,0,0,0,0,7
24071613548,No.25 edel+white UltraSoft Flosserbrush,0,0,0,0,0,0,0,0,0,0,0,8
24100939935,No.26 edel+white Intensive,0,0,0,0,0,0,0,0,0,0,0,9
24100987248,No.27 edel+white Stain Eraser,0,0,0,0,0,0,0,0,0,0,0,10
24071147958,No.28 edel+white Pro-Ortho,0,0,0,0,0,0,0,0,0,0,0,1
24071299410,No.34 ยาสีฟัน edel+white �,0,0,0,0,0,0,0,0,0,0,0,6
24071219455,No.35 ยาสีฟัน edel+white สูตร A,0,0,0,0,0,0,0,0,0,0,0,4
24071282389,No.40 ไหมขัดฟัน edel+white,0,0,0,0,0,0,0,0,0,0,0,8
